City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,276.58,57,75,5.14,CA,1683628533
1,iqaluit,63.7506,-68.5145,265.0,78,20,4.63,CA,1683628534
2,grytviken,-54.2811,-36.5092,273.8,93,84,0.18,GS,1683628534
3,ancud,-41.8697,-73.8203,282.21,88,96,1.21,CL,1683628371
4,labytnangi,66.6572,66.4183,274.36,100,100,6.5,RU,1683628534
5,longyearbyen,78.2186,15.6401,274.06,64,75,0.51,SJ,1683628534
6,vila velha,-20.3297,-40.2925,295.34,99,75,1.54,BR,1683628535
7,puerto ayora,-0.7393,-90.3518,299.01,97,68,2.68,EC,1683628535
8,kingston,17.997,-76.7936,299.68,85,20,3.09,JM,1683628535
9,balikpapan,-1.2675,116.8289,300.7,83,20,1.54,ID,1683628536
10,hassi messaoud,31.6804,6.0729,298.97,27,0,4.55,DZ,1683628536
11,chibougamau,49.9168,-74.3659,269.94,80,0,1.54,CA,1683628536
12,adamstown,-25.066,-130.1015,294.68,57,99,4.79,PN,1683628536
13,albany,42.6001,-73.9662,279.99,76,98,1.92,US,1683628536
14,dunhua,43.3725,128.2425,281.59,35,69,2.76,CN,1683628536
15,lazaro cardenas,17.9583,-102.2,298.01,79,53,2.07,MX,1683628537
16,olonkinbyen,70.9221,-8.7187,275.1,100,100,3.23,SJ,1683628537
17,port-aux-francais,-49.35,70.2167,279.55,89,89,6.35,TF,1683628537
18,santa terezinha,-29.9002,-50.0904,289.37,75,62,4.26,BR,1683628537
19,pangody,65.85,74.4859,272.4,97,71,4.22,RU,1683628338
20,ushuaia,-54.8,-68.3,275.96,87,40,9.77,AR,1683628310
21,bandon,51.7469,-8.7425,286.92,92,100,3.17,IE,1683628538
22,stanley,54.868,-1.6985,290.1,86,20,4.63,GB,1683628442
23,broome,42.2506,-75.833,282.15,62,0,2.06,US,1683628538
24,pacocha,-17.5833,-71.3333,291.88,82,100,1.39,PE,1683628538
25,fortuna,40.5982,-124.1573,280.74,95,0,2.57,US,1683628538
26,nemuro,43.3236,145.575,279.98,76,21,9.61,JP,1683628539
27,papatowai,-46.5619,169.4708,282.1,94,100,1.79,NZ,1683628539
28,aasiaat,68.7098,-52.8699,268.75,88,100,2.2,GL,1683628539
29,benguela,-12.5763,13.4055,302.97,69,1,3.9,AO,1683628539
30,bintulu,3.1667,113.0333,302.38,79,20,2.06,MY,1683628539
31,puerto natales,-51.7236,-72.4875,276.08,87,94,0.73,CL,1683628539
32,avarua,-21.2078,-159.775,298.18,88,20,6.69,CK,1683628540
33,livorno,43.2333,10.5833,297.26,73,99,3.01,IT,1683628540
34,port elizabeth,-33.918,25.5701,297.09,67,0,2.06,ZA,1683628540
35,arhus,56.1567,10.2108,289.27,67,81,9.38,DK,1683628540
36,pontes e lacerda,-15.2261,-59.3353,294.7,98,100,1.88,BR,1683628540
37,bethel,41.3712,-73.414,284.23,72,0,2.06,US,1683628540
38,waitangi,-43.9535,-176.5597,289.16,93,99,5.36,NZ,1683628541
39,badger,64.8,-147.5333,278.29,66,40,2.06,US,1683628541
40,jamestown,42.097,-79.2353,283.72,76,100,2.06,US,1683628458
41,blackmans bay,-43.0167,147.3167,284.22,77,92,3.84,AU,1683628541
42,ta`u,-14.2336,-169.5144,300.87,80,30,6.86,AS,1683628541
43,west island,-12.1568,96.8225,301.1,79,29,6.34,CC,1683628542
44,bredasdorp,-34.5322,20.0403,295.33,48,59,1.32,ZA,1683628542
45,arraial do cabo,-22.9661,-42.0278,297.07,78,20,3.09,BR,1683628542
